0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
241,0,0,0,0,0,1,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,139,0,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0
0,290,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,q,6,0,3,0,0,1,1,0,1,0,0
0,0,0,382,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0
0,0,0,0,351,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,0,C,0,3,0,1,0,2,1,2,0,4,0,6
0,0,0,0,0,332,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2
0,1,0,0,0,0,361,0,1,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,J,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,382,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0,3
0,0,0,0,0,2,0,0,347,1,0,R,0,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,6,0,0,3,0,0
0,0,0,0,0,0,0,3,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D,0,1,o,0,0
0,0,2,0,0,0,0,0,0,0,380,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,1,0
2,0,0,1,0,0,0,0,B,0,2,363,0,0,2,0,1,1,0,0,1,0,0,0,3,0,1,4,0,0,0,0,0,0,0,1,1,2,0,3,0,1,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,369,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,E,0,0,0,0,0,4,0
Q,0,0,0,0,0,0,0,0,0,0,1,0,336,0,0,0,0,0,1,0,0,1,0,P,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,1,0,0,0
