0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
3230,0,2,1,1,0,1,0,9,0,6,4,5,112,0,1,1,0,1,0,0,0,0,0,2316,1,P,0,1,0,B,3,0,0,0,0,9,9,A,2,0,2,0,C,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4791,I,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1177,1,0,311,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,3,0,0,4,0,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4751,H,0,0,0,I,A,0,4,3,6,7,0,0,0,0,3,7,0,O,0,0,2,0,X,E,0,0,1,6,1,3,1,750,127,0,U,4,1,S,3,0,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,8,5682,0,5,0,K,B,8,0,A,0,1,0,1,0,0,1,a,0,0,0,0,3,0,0,0,n,0,0,0,0,0,0,D,6,0,1,1,0,99,0,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4938,0,3,0,1,T,m,0,0,0,1,0,0,70,2,2,3,0,1,2,0,1,1,0,0,0,112,K,1,2,200,0,f,0,8,1,8,D,7,2,t,1,k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,N,0,4358,4,0,1,8,0,6,6,0,G,G,8,0,1,U,1,0,0,0,5,0,0,0,654,B,0,0,0,0,0,0,1,1,1,0,0,J,2,1,0,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,3,8,5187,0,4,0,0,4,M,0,2,1,131,0,3,0,1,R,0,0,4,0,3,0,1,0,Q,2,9,0,0,0,1,246,4,0,1,0,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,2,4,0,0,5848,1,64,0,0,0,2,0,7,0,0,5,1,0,0,0,0,1,2,0,0,0,Y,0,0,0,0,H,F,1,0,0,0,2,4,0,Q,V,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,5,0,8,9,1,4862,7,4,345,0,5,H,I,6,0,9,0,7,0,0,0,2,64,3,C,B,2,0,2,0,8,8,0,0,3,G,8,6,f,1,0,115,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,F,E,2,0,i,0,4899,1,0,0,0,0,2,2,0,1,0,0,0,0,0,3,4,D,0,5,1,1,0,0,0,7,0,H,0,0,2,1,123,0,1,526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1006,0,0,0,0,0,0,8,1,0,1,1,2,1,0,0,2,4,0,0,0,0,0,1,0,0,9,0,0,0,0,0,C,B,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,3,0,1,1,0,S,0,6,574,0,2,1,0,0,1,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,1,7,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1,4,0,0,0,0,2,1588,0,A,0,1,0,3,0,0,5,0,0,7,3,0,0,0,0,2,0,0,0,0,0,3,0,0,93,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,1,1,0,0,2,0,679,0,0,0,0,0,0,0,0,0,0,X,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,1,8,0,814,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,J,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,E,0,1,5,0,1,0,3,0,6,780,1,0,1,1,1,1,0,0,0,R,0,1,2,3,0,0,0,0,1,0,0,0,1,0,542,1,0,0,0,G,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
