0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
4499,0,2,1,1,0,0,0,3,1,0,0,3,J,0,0,0,0,0,0,0,0,0,0,1199,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
0,5870,2,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,299,1,0,214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
0,1,5654,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0,0,0,0,1,0,0,0,76,8,0,6,1,0,0,1,0,0,1,0
0,0,6,5802,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0
0,0,0,0,5417,0,0,0,1,6,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,F,0,0,0,h,0,0,0,1,0,1,0,1,0,0,1,4
1,0,0,7,0,4945,2,0,0,2,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1
0,2,0,0,0,0,5700,0,0,0,0,0,9,0,0,0,6,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,s,0,0,0,0,3,0,0,1,0
0,2,3,0,3,0,0,5844,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
1,2,1,1,0,1,4,1,5618,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,3,2,0,4,0,0,3,3,0
0,2,0,1,7,0,0,1,3,5572,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,E,0,0,0,0,d,0,0,8,0,0
0,1,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,3,0,0,0,0,5,0,0,638,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,1,0,0,0,2113,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,3,1
X,0,0,0,0,0,0,0,0,0,0,1,0,667,0,0,0,0,0,3,0,1,0,0,J,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2
0,1,1,1,0,1,0,2,0,0,0,0,0,0,1,1400,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104,1,0,0,0,1,5
1,0,0,0,0,1,V,0,0,0,0,1,2,0,0,0,389,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,555,1,0,1,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1403,D,0,122,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0
0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,b,851,0,2,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,797,0,0,1,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
0,1798,1,0,0,0,3,1,0,0,0,0,C,0,0,0,0,0,313,2,1,1205,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,3,4,0,1,4,0,0,1,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1969,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1338,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0
1696,0,0,0,0,1,1,0,0,0,0,0,2,G,0,0,1,0,0,0,0,0,0,0,2949,1,5,0,0,1,3,0,0,0,0,0,B,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,3,1,2,1,0,7,0,2,0,0,0,0,0,0,0,0,0,1790,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,399,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,94,1,0,5,1,0,0,0,1,0,0,0,0,0,2,0,2,0,1,1,2,0,1,3777,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,0
