0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
280,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,104,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,297,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,U,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,c,6,0,3,0,0,2,1,0,1,0,0
0,0,0,386,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0
0,0,0,0,370,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,8,0,3,0,1,0,0,0,1,0,3,0,2
0,0,0,0,0,350,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0
0,0,0,0,0,0,376,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,B,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,1
0,0,0,0,0,1,0,0,367,1,0,D,0,1,1,1,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,3,0,0
0,0,0,0,0,0,0,2,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,E,0,1,b,0,0
0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,5,0,2,382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,A,0,0,0,0,0,1,0
D,0,0,1,0,0,0,0,0,0,1,2,0,363,0,0,0,0,0,0,0,0,1,0,E,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,388,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
0,0,0,0,0,3,0,1,4,0,0,0,1,0,0,222,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,159,0,0,0,0,2,2
0,0,0,0,0,0,E,0,0,1,0,2,3,0,1,0,371,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,384,0,1,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
0,110,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,267,3,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,1
0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,B,358,0,1,0,0,0,0,0,0,3,2,5,3,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,381,1,0,1,0,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,5,0,0,1,1
0,184,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,63,1,0,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,382,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,388,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,278,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,384,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
2,0,1,0,0,0,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,369,0,0,0,1,0,0,0,0,0,D,0,0,0,0,3,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,I,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,371,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
