0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
3836,0,0,0,1,0,2,0,6,0,3,A,7,124,0,0,1,0,1,1,0,0,0,0,1697,3,W,0,1,0,C,1,1,0,0,0,9,8,7,1,0,1,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5012,M,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,877,1,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,3,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5062,6,0,0,0,A,6,0,3,1,3,6,0,0,0,0,2,2,0,C,0,1,2,0,S,5,0,0,1,5,2,0,1,541,114,0,O,1,0,I,2,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,5750,1,9,0,H,C,3,0,C,0,1,1,0,0,0,0,R,0,0,0,0,3,0,0,0,R,0,0,0,0,0,0,9,9,0,1,0,0,73,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,5144,0,2,0,0,F,P,0,0,0,1,1,0,75,1,1,3,0,1,1,0,1,2,0,0,1,79,C,2,4,167,0,K,0,4,1,5,5,6,2,Q,1,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,6,0,4598,5,0,2,5,0,3,6,0,6,9,5,0,1,O,1,0,0,0,0,0,0,0,487,6,0,1,0,0,0,0,0,4,1,0,0,9,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,1,1,5245,0,7,0,0,6,F,0,1,0,158,0,2,0,0,E,0,0,1,0,4,0,0,0,G,0,9,0,0,0,1,203,0,1,3,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,4,8,0,0,5962,1,J,2,1,0,2,0,4,0,0,1,0,0,1,1,0,1,0,0,0,0,L,0,0,0,0,G,A,0,0,0,0,7,1,0,J,D,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,6,6,0,5139,2,3,235,1,3,4,7,5,0,1,0,6,0,0,1,0,b,3,A,7,1,0,2,0,6,9,2,1,2,D,5,7,I,0,0,81,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,8,1,0,J,3,4978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,0,0,6,0,E,0,0,1,0,184,0,1,455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1034,1,1,0,0,0,0,5,1,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,0,1,0,5,0,3,622,0,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,5,0,0,0,0,1,1627,0,B,1,1,0,2,0,0,5,0,0,6,1,0,0,0,0,2,0,0,0,0,0,7,0,0,w,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,1,0,0,0,1,0,0,1,3,0,722,0,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,1,5,0,824,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,2,3,0,1,3,0,1,0,1,0,5,828,0,0,0,0,1,1,0,0,0,K,0,2,1,3,0,0,0,0,0,0,0,0,1,0,546,0,0,0,0,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,F,0,0,1,0,2,1,0,0,0,420,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,503,0,0,0,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,624,4,1,0,0,0,0,0,0,0,0,2,2,5,5,0,0,1277,C,0,93,0,0,1,0,0,0,1,0,0,0,1,1,0,A,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,597,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,371,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,8,0,0,0,0,0,S,0,0,0,0,0,2,0,1,749,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,L,0,0,0,0,1444,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,0,7,0,0,1,0,4,1314,0,0,0,1,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,0,1,0,0,0,0,0,1,0,0,5,4,m,0,0,1,0,2,0,0,0,1,0,2783,2,F,0,3,0,1,1,0,0,0,0,6,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,8,0,2,0,0,D,0,1,0,0,0,0,0,0,0,1,0,1356,3,1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,387,1,0,0,0,0,0,0,0,0,C,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,G,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,263,1,0,B,2,0,1,0,0,0,0,3,0,2,J,0,0,0,1,1,0,0,0,3174,0,0,1,0,0,0,0,0,1,4,1,1,F,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,R,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,A,0,2,0,1,0,0,0,3,1,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,1906,i,8,1,0,0,A,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Y,741,0,0,4,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,E,0,0,0,0,0,0,1,0,782,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,419,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,Y,0,0,4,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,I,0,3,715,0,0,0,2,0,0,2,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,E,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,R,0,0,0,0,0,5,0,P,3,0,0,0,0,1,0,0,0,0,0,1,1,9,0,O,1,0,0,2,0,1,0,0,1,1494,0,6,5,0,D,1,4,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
