0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
3887,0,1,0,2,0,2,0,7,0,3,B,6,125,1,0,5,0,0,0,0,0,0,0,1607,2,f,1,1,0,F,1,0,0,0,0,3,6,5,2,0,0,0,A,1,0,0
0,5051,K,1,1,0,1,7,3,0,0,0,0,0,0,0,0,0,878,2,0,413,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,2,0,1,6,6
1,1,4920,5,0,0,0,C,4,0,3,1,2,4,0,0,0,0,1,2,0,B,0,0,0,0,X,4,1,1,0,2,2,1,0,568,127,1,Q,3,0,I,1,1,8,0,1
0,0,6,5642,1,D,0,C,B,1,1,5,0,3,0,0,0,0,0,O,0,0,0,0,1,0,0,0,O,0,0,0,0,0,0,6,9,0,2,0,0,62,0,0,4,0,0
0,0,1,0,5051,0,1,1,1,K,F,0,1,0,0,1,0,x,1,1,1,0,0,1,0,0,0,0,0,0,67,8,1,1,179,0,F,1,3,0,4,A,3,1,V,1,I
0,0,0,7,0,4679,0,0,4,5,1,6,7,2,7,B,5,0,1,O,0,0,0,0,0,0,0,0,533,6,0,0,0,1,0,0,0,5,1,0,0,A,0,0,0,A,1
1,1,0,0,1,0,5305,0,A,0,0,3,S,0,4,0,186,0,2,0,0,L,0,0,1,0,0,0,0,0,C,1,8,0,0,0,0,187,0,1,1,0,C,0,0,1,1
0,1,H,0,5,0,0,5678,0,O,2,0,0,2,0,7,0,0,3,0,0,0,0,0,1,0,0,1,0,T,0,0,0,1,G,9,0,0,0,0,6,3,1,J,A,0,c
1,1,1,0,2,9,5,0,5167,1,2,228,2,1,5,6,3,0,2,0,4,0,0,0,2,h,1,D,8,0,0,1,0,4,7,1,0,1,8,A,8,E,0,0,85,7,2
0,3,0,0,E,0,0,C,3,4989,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,6,8,0,7,0,0,0,0,0,3,0,G,0,0,0,0,166,0,1,418,0,0
0,0,0,0,0,0,0,0,0,1,1030,2,0,1,0,0,0,5,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,1
1,0,0,2,0,0,0,0,9,0,3,627,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,2049,0,C,1,0,0,1,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0,0,64,0,0,0,0,0,7,1
B,0,0,0,0,0,0,0,0,0,2,3,2,685,0,0,0,0,0,2,0,0,0,0,L,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,3,0,833,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,A,1,0,0,0,1,0,2
0,1,1,1,0,7,0,0,2,0,2,0,1,0,4,853,1,0,0,0,1,0,0,0,0,L,0,0,2,5,0,0,0,0,1,1,0,0,0,0,601,2,0,0,1,4,C
0,0,0,0,0,0,A,0,1,0,0,4,1,0,1,0,400,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
0,0,1,0,6,0,0,0,0,0,3,0,1,0,0,0,0,549,0,0,4,0,1,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
0,643,2,1,0,1,1,1,0,0,0,1,0,0,3,1,0,0,1616,L,0,99,0,0,0,0,0,0,1,0,0,1,1,0,0,G,0,0,0,0,0,0,2,1,0,1,0
0,1,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,e,833,0,1,0,0,0,0,0,0,6,4,1,3,0,0,0,0,0,2,5,0,1,3,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,775,2,0,2,0,0,0,6,0,0,1,1,0,5,0,0,0,0,1,1,0,0,5,1,0,1,1
0,1560,2,0,0,1,5,1,0,0,0,2,P,0,2,0,0,0,570,3,4,1140,0,0,0,0,1,5,0,0,2,0,0,1,1,0,0,3,1,1,3,0,C,0,2,3,8
0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,P,0,0,1,0,1918,4,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,H,0,1,0
1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,5,0,1,1,0,4,1316,1,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,8,0,1,0
1456,0,0,0,0,1,0,0,1,0,0,4,2,v,0,0,3,1,0,1,0,0,0,0,3117,3,B,0,1,1,8,0,0,0,0,0,F,1,0,0,1,0,0,5,0,0,0
0,1,1,0,0,0,0,0,A,1,8,1,0,F,0,2,1,1,0,0,0,1,1,0,1,1750,3,4,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,2
0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,2,388,0,0,0,1,0,0,0,0,0,B,0,0,0,0,1,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,9,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,1,0,0,0
0,0,0,2,2,255,1,0,A,0,2,2,2,0,2,0,8,0,4,G,0,0,0,2,3,0,4,2,3550,0,0,0,0,0,0,0,3,1,3,3,0,L,0,0,0,1,0
0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1534,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,D,l
3,0,2,0,H,0,2,0,1,0,0,0,2,5,0,0,0,3,0,2,0,0,2,0,3,0,0,0,2,0,2378,67,C,3,0,2,F,0,3,0,0,0,2,0,2,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,l,1140,2,1,7,0,0,0,0,0,0,0,0,1,0,D,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,D,0,0,0,0,0,0,8,5,1227,0,0,0,1,0,0,0,0,0,0,3,0,0,1
0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,1,0,0,0,2,0,859,3,2,0,0,0,0,1,0,1,1,0,0,3
0,2,0,0,78,0,0,5,2,0,1,0,0,0,0,0,0,2,1,2,2,0,1,0,0,2,0,0,0,1,6,m,0,3,1011,0,0,0,2,0,0,B,0,1,3,4,7
0,0,d,3,0,0,0,2,3,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,863,1,0,0,0,0,2,0,0,1,0,3
0,0,O,1,0,0,0,0,0,0,a,1,2,1,0,0,0,0,0,0,0,0,0,1,H,0,B,2,0,0,3,0,1,0,0,0,1507,0,8,A,0,E,1,5,M,0,1
2,0,0,0,0,1,d,0,0,0,1,A,0,6,1,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,850,2,0,2,0,8,1,1,0,0
0,0,3,0,3,0,0,0,2,0,1,0,0,D,0,0,0,2,1,2,0,0,0,3,2,0,7,2,0,0,0,1,0,0,0,0,K,1,1642,0,1,0,0,2,0,0,0
2,0,0,0,1,0,0,0,0,0,0,3,70,0,I,0,0,0,1,0,1,2,0,0,1,8,4,D,0,0,1,0,1,0,0,0,V,0,1,3902,1,1,1,0,0,0,3
0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,89,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,304,0,0,0,0,1,I
0,0,0,0,1,2,1,3,U,91,1,5,1,0,0,0,M,0,0,1,1,0,1,0,0,0,4,1,4,0,0,0,1,0,0,0,F,1,1,1,0,335,0,2,w,0,0
0,0,1,0,1,0,3,0,0,0,4,1,0,0,0,0,0,6,0,0,5,G,1,1,0,0,1,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1456,Q,1,0,2
0,0,0,0,0,0,0,6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Q,k,1,0,0,8,0,0,2,0,2,4,0,2,6,0,0,0,0,0,O,1736,0,6,0
