0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
4614,0,1,0,1,0,1,0,0,1,0,1,5,W,0,0,0,0,0,0,0,0,0,0,1092,0,5,0,0,0,8,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
0,5677,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,266,0,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K,1,0,349,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,5793,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,1,0,1,I,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,O
0,0,2,5948,0,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0,2,0,0,5545,0,2,0,0,7,4,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,0,0,0,0,8,1,0,0,L,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,2,3,0,0,1,5,0
0,0,0,6,0,4922,2,0,0,2,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,0,0,2,0,5648,0,1,0,0,1,3,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,3,0,2,0,0,6113,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,3,0,5593,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,7,0,1,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0
0,0,0,0,9,0,0,3,1,5590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,H,0,0,0,0,0,d,0,1,0,0,0,0,0,0,1,M,0,0,0,0,0,0,0,1,0
0,0,1,0,3,0,0,1,0,0,1048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,2,0,0,0,0,2,0,0,637,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1660,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,V,0,X,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
T,0,0,1,0,0,0,0,0,1,0,0,0,729,0,0,0,0,0,0,0,0,0,0,E,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0,1,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1356,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,66,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0
1,0,0,0,0,0,X,0,0,1,0,0,1,0,0,0,409,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,508,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,754,1,0,0,0,0,0,0,0,1,0,1,1,1,3,0,0,1101,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,163,0,1,0,1,0,1,0,0,0,0,0,1,0,1
0,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,4,536,0,0,0,0,0,0,0,0,6,3,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,z,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,1,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1344,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
