0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
4601,0,1,1,0,0,0,0,2,2,0,0,3,M,0,0,0,0,0,0,0,0,0,0,1098,0,3,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0
0,5895,2,0,1,0,1,5,3,0,0,0,0,0,0,0,0,0,291,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3
0,1,5666,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,67,6,0,7,0,0,1,1,0,0,1,0
0,0,5,5803,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5418,0,0,0,1,5,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,C,1,0,2,h,0,0,0,2,0,1,0,0,1,0,1,4
0,0,0,7,0,4965,1,0,0,2,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
0,1,0,0,0,0,5721,0,0,0,0,0,A,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,d,0,0,0,0,4,0,0,1,0
0,2,2,0,1,0,0,5849,1,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1,2,2,0,0,2,4,1,5617,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,2,2,0,2,0,0,5,3,1
1,2,0,1,8,0,0,1,2,5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,F,0,0,0,0,Z,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
1,0,0,2,0,0,0,0,5,0,0,637,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,3,0,0,0,0,0,2112,0,0,0,0,0,2,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,3,1
T,0,0,0,0,0,0,0,0,0,0,1,1,672,0,0,0,0,0,2,0,0,0,0,J,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,850,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1
0,1,1,1,0,1,0,3,1,0,1,0,0,0,1,1402,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,1,4
3,0,0,0,0,2,V,0,0,0,0,1,2,0,0,0,385,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,555,1,0,1,0,1,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
0,881,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1388,8,0,128,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0
0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,a,854,0,2,0,0,0,0,0,0,3,2,1,3,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,798,0,0,1,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
0,1819,2,0,0,0,2,1,0,0,0,0,C,0,0,1,0,0,294,1,2,1204,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,4,0,0,5,0,0,1,4
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1967,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1335,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,7,0,1,0
1767,0,0,0,0,1,1,0,1,0,0,0,2,F,0,0,1,0,0,0,0,0,0,0,2883,0,5,0,0,1,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0
